Index,Epochs,Learning Rate,MSE Training Data,MSE Testing data
199,12,0.009,0.249550977,0.237985157
198,12,0.008,0.255295652,0.243804941
189,16,0.009,0.236303453,0.224245793
188,16,0.008,0.240950592,0.229016238
187,16,0.007,0.247316883,0.23557902
186,16,0.006,0.255897987,0.244425476
179,20,0.009,0.230112237,0.217891765
178,20,0.008,0.233145074,0.22099012
177,20,0.007,0.237639658,0.225608025
176,20,0.006,0.244252316,0.23242054
180,20,0.01,0.24986636,0.239225368
175,20,0.005,0.253874174,0.242340392
169,26,0.009,0.226118662,0.213869919
168,26,0.008,0.227620908,0.21536825
170,26,0.01,0.227933775,0.215984987
167,26,0.007,0.230091791,0.217871243
166,26,0.006,0.234186949,0.222060797
165,26,0.005,0.240952765,0.229021169
164,26,0.004,0.25199203,0.24040105
160,33,0.01,0.22421279,0.21207079
159,33,0.009,0.224430817,0.212251665
158,33,0.008,0.225136827,0.212915596
157,33,0.007,0.226350415,0.21410145
156,33,0.006,0.22856372,0.216321599
155,33,0.005,0.232714668,0.220552632
154,33,0.004,0.240530201,0.228586806
153,33,0.003,0.255019437,0.243522083
150,42,0.01,0.223241298,0.211239554
149,42,0.009,0.223541246,0.211476188
148,42,0.008,0.223931549,0.211806859
147,42,0.007,0.224514656,0.212330919
146,42,0.006,0.225558493,0.213325299
145,42,0.005,0.227693121,0.215444895
144,42,0.004,0.232363266,0.220194038
143,42,0.003,0.242736603,0.230860936
140,53,0.01,0.222540936,0.21067313
139,53,0.009,0.222864127,0.210930581
138,53,0.008,0.223208091,0.211205264
137,53,0.007,0.223607071,0.211531404
136,53,0.006,0.224165605,0.212014652
135,53,0.005,0.225196954,0.212977176
134,53,0.004,0.227622623,0.21537538
133,53,0.003,0.234066697,0.221940714
132,53,0.002,0.251508774,0.239904322
130,67,0.01,0.221723455,0.210023762
129,67,0.009,0.222110403,0.21033148
128,67,0.008,0.222505693,0.210645604
127,67,0.007,0.222915961,0.210971654
126,67,0.006,0.223367834,0.2113346
125,67,0.005,0.223968533,0.211841192
124,67,0.004,0.225144529,0.212928183
123,67,0.003,0.228553653,0.216315341
122,67,0.002,0.240325217,0.228377518
120,84,0.01,0.220770729,0.209267474
119,84,0.009,0.22123697,0.209637262
118,84,0.008,0.221712554,0.210015103
117,84,0.007,0.222198613,0.210401482
116,84,0.006,0.22269985,0.210799673
115,84,0.005,0.223241571,0.211232322
114,84,0.004,0.22396626,0.211839936
113,84,0.003,0.225668492,0.213436478
112,84,0.002,0.232628433,0.220467761
110,105,0.01,0.219643767,0.208377278
109,105,0.009,0.220201007,0.208816784
108,105,0.008,0.220771314,0.209267953
107,105,0.007,0.221355444,0.209731324
106,105,0.006,0.221954558,0.210207419
105,105,0.005,0.222573068,0.210698844
104,105,0.004,0.223243737,0.211234125
103,105,0.003,0.224244389,0.212088231
102,105,0.002,0.227908803,0.215665903
101,105,0.001,0.252295906,0.240716393
100,132,0.01,0.21826728,0.207297302
99,132,0.009,0.218930962,0.207817052
98,132,0.008,0.219612984,0.208353075
97,132,0.007,0.220314555,0.208906531
96,132,0.006,0.221037015,0.209478588
95,132,0.005,0.221782084,0.210070279
94,132,0.004,0.222555499,0.210684792
93,132,0.003,0.223422116,0.211379487
92,132,0.002,0.225316335,0.213096028
91,132,0.001,0.241156342,0.229234506
90,166,0.01,0.216635823,0.206026977
89,166,0.009,0.21741949,0.206635953
88,166,0.008,0.218228374,0.207266927
87,166,0.007,0.219064435,0.207921832
86,166,0.006,0.219929875,0.20860283
85,166,0.005,0.220827181,0.20931224
84,166,0.004,0.221759429,0.210052239
83,166,0.003,0.222738621,0.210830198
82,166,0.002,0.224032277,0.21189954
81,166,0.001,0.233095402,0.22094714
80,208,0.01,0.214755445,0.204574217
79,208,0.009,0.215669844,0.205279285
78,208,0.008,0.216618037,0.206013213
77,208,0.007,0.217603033,0.206778938
76,208,0.006,0.218628313,0.20757988
75,208,0.005,0.219697899,0.208420002
74,208,0.004,0.220816464,0.209303754
73,208,0.003,0.221990145,0.210235553
72,208,0.002,0.223276753,0.211261016
71,208,0.001,0.228135598,0.215895764
70,261,0.01,0.212562346,0.202892563
69,261,0.009,0.213619768,0.203701876
68,261,0.008,0.214721771,0.204548323
67,261,0.007,0.215872745,0.205436113
66,261,0.006,0.217077928,0.206370315
65,261,0.005,0.218343582,0.207357057
64,261,0.004,0.219677218,0.20840373
63,261,0.003,0.2210879,0.20951895
62,261,0.002,0.222592763,0.2107142
61,261,0.001,0.225439761,0.21321671
60,327,0.01,0.210064972,0.200990446
59,327,0.009,0.211273164,0.201909203
58,327,0.008,0.212539422,0.202875059
57,327,0.007,0.213869768,0.203893633
56,327,0.006,0.215271626,0.204971964
55,327,0.005,0.216754211,0.206118912
54,327,0.004,0.21832903,0.207345695
53,327,0.003,0.220010532,0.208666507
52,327,0.002,0.221817355,0.210098198
51,327,0.001,0.224105492,0.211965378
50,409,0.01,0.207261288,0.19886671
49,409,0.009,0.208622314,0.199896387
48,409,0.008,0.210058667,0.200985658
47,409,0.007,0.211578161,0.202141556
46,409,0.006,0.21319071,0.203373196
45,409,0.005,0.214909082,0.204692567
44,409,0.004,0.216749937,0.206115611
43,409,0.003,0.21873524,0.207663708
42,409,0.002,0.220894201,0.209365366
41,409,0.001,0.223330365,0.211304754
40,512,0.01,0.204129654,0.196504469
39,512,0.009,0.205637069,0.197640466
38,512,0.008,0.207242803,0.198852732
37,512,0.007,0.208956705,0.200149714
36,512,0.006,0.210791433,0.20154258
35,512,0.005,0.212763754,0.203046544
34,512,0.004,0.214896477,0.204682871
33,512,0.003,0.217221311,0.206481847
32,512,0.002,0.219783088,0.208487173
31,512,0.001,0.222654133,0.210762861
30,640,0.01,0.200743811,0.193958698
29,640,0.009,0.202372852,0.195182617
28,640,0.008,0.204130638,0.196505198
27,640,0.007,0.206029781,0.197936715
26,640,0.006,0.208086224,0.19949054
25,640,0.005,0.210321161,0.201185061
24,640,0.004,0.212764192,0.203046886
23,640,0.003,0.215458496,0.205116178
22,640,0.002,0.218469294,0.20745546
21,640,0.001,0.22189823,0.210162416
20,800,0.01,0.197170737,0.191279907
19,800,0.009,0.198873961,0.192555849
18,800,0.008,0.200744831,0.193959451
17,800,0.007,0.202800654,0.195504298
16,800,0.006,0.205062369,0.197207135
15,800,0.005,0.20755691,0.199090163
14,800,0.004,0.210321616,0.201185408
13,800,0.003,0.213412448,0.203543041
12,800,0.002,0.216919263,0.206247105
11,800,0.001,0.220994051,0.209444522
10,1000,0.01,0.193553235,0.188576461
9,1000,0.009,0.195256001,0.189847793
8,1000,0.008,0.197171775,0.191280675
7,1000,0.007,0.199326234,0.192894957
6,1000,0.006,0.201749178,0.194713826
5,1000,0.005,0.204476912,0.196765978
4,1000,0.004,0.207557382,0.199090516
3,1000,0.003,0.211061315,0.201747936
2,1000,0.002,0.21510648,0.204844689
1,1000,0.001,0.219910268,0.20858745
